"","name","position","ovr","out","ins","pla","ath","def","reb","xbox","ps4","pc","NA"
"45",NA,"Gail Goodrich","SG",97,95,63,88,87,79,39,NA,NA,NA
"46",NA,"Bernard King","SF",97,88,87,84,87,78,60,NA,NA,NA
"47",NA,"David Thompson","SG",97,88,87,82,94,82,76,NA,NA,NA
"48",NA,"George Mikan","C",97,80,90,54,76,82,98,NA,NA,NA
"49",NA,"Devin Booker","SG",97,97,75,90,82,82,68,NA,100000,NA
"50",NA,"Julius Erving","SF",97,94,93,87,94,91,89,NA,450000,NA
"51",NA,"Demarcus Cousins","C",97,88,93,79,84,86,98,NA,180000,NA
"52",NA,"Dwyane Wade","SG",97,91,87,96,94,92,65,NA,120000,NA
"53",NA,"Dirk Nowitzki","PF",97,97,89,70,78,83,95,NA,100000,NA
"54",NA,"Kevin Garnett","PF",97,86,97,80,93,94,98,NA,355000,NA
"55",NA,"Clyde Drexler","SG",97,92,94,91,92,89,77,NA,200000,NA
"56",NA,"Vince Carter","SF",97,93,88,85,92,82,69,NA,NA,NA
"57",NA,"Kevin Durant","SF",97,96,79,78,83,78,73,350000,370000,NA
"58",NA,"Tracy McGrady","SG",97,96,87,85,92,83,65,460000,500000,NA
"59",NA,"Chris Mullin","SF",97,97,84,77,85,83,63,NA,NA,NA
"60",NA,"Bill Walton","C",97,70,94,89,83,93,98,120000,110000,NA
"61",NA,"Carmelo Anthony","SF",97,96,90,86,87,80,72,500000,300000,NA
"62",NA,"Isaiah Thomas","PG",97,98,62,97,92,71,54,NA,120000,NA
"63",NA,"Kawhi Leonard","SF",97,95,79,84,85,92,84,NA,300000,NA
"64",NA,"John Havlicek","SF",97,97,82,87,88,90,83,NA,80000,NA
"65",NA,"Klay Thompson","SG",97,98,81,84,88,93,55,NA,NA,NA
"66",NA,"Kyrie Irving","PG",97,98,71,95,89,78,43,NA,NA,NA
"67",NA,"Chauncey Billups","PG",96,97,64,97,95,90,43,NA,NA,NA
"68",NA,"Joe Dumars","SG",96,96,76,91,92,91,51,NA,NA,NA
"69",NA,"John Wall","PG",96,94,73,98,92,89,78,NA,170000,NA
"70",NA,"Rick Barry","SF",96,95,85,89,87,88,85,NA,85000,NA
"71",NA,"Ray Allen","SG",96,98,80,87,89,80,69,NA,90000,NA
"72",NA,"Pete Maravich","SG",96,96,71,98,90,82,66,NA,90000,NA
"73",NA,"Christian Laettner","PF",96,92,92,75,81,89,97,NA,NA,NA
"74",NA,"Steve Nash","PG",96,96,57,98,86,77,49,160000,150000,NA
"75",NA,"Anthony Davis","PF",96,80,95,62,86,89,95,NA,180000,NA
"76",NA,"Dwight Howard","C",96,47,91,48,84,92,98,120000,110000,NA
"77",NA,"Karl-Anthony Towns","C",96,90,94,61,85,83,97,NA,150000,NA
"78",NA,"Giannis Antetokounmpo","SF",96,85,89,88,89,91,87,NA,130000,NA
"79",NA,"Demar Derozan","SG",96,90,87,88,88,75,71,NA,NA,NA
"80",NA,"Jimmy Butler","SG",96,93,77,80,88,87,81,NA,85000,NA
"81",NA,"Steve Francis","PG",96,91,76,95,91,79,80,NA,140000,NA
"82",NA,"George Gervin","SF",96,92,89,84,90,85,82,NA,95000,NA
"83",NA,"Damian Lillard","PG",96,97,69,91,89,72,60,NA,NA,NA
"84",NA,"Kristaps Porzingis","PF",96,90,88,80,79,82,86,NA,350000,NA
"85",NA,"Nikola Jokic","C",96,93,94,92,86,86,97,NA,280000,NA
"86",NA,"Gary Payton","PG",96,93,74,96,94,90,63,200000,200000,NA
"87",NA,"Allen Iverson","SG",96,92,65,89,93,79,43,NA,NA,NA
"88",NA,"Tony Parker","PG",96,92,64,95,90,79,39,NA,NA,NA
"89",NA,"Jerry Lucas","PF",96,87,87,71,79,79,97,NA,NA,NA
"90",NA,"Grant Hill","SF",96,86,84,85,90,78,70,NA,NA,NA
"91",NA,"Artis Gilmore","C",96,60,83,53,73,85,96,NA,NA,NA
"92",NA,"Mark Price","PG",96,97,57,96,84,65,41,NA,NA,NA
"93",NA,"Chris Paul","PG",96,94,63,97,89,86,47,NA,NA,NA
"94",NA,"Dave Bing","PG",96,93,67,94,88,76,47,NA,NA,NA
"95",NA,"Chris Bosh","PF",95,87,88,56,76,74,92,NA,NA,NA
"96",NA,"Jack Sikma","C",95,82,86,63,74,78,96,NA,NA,NA
"97",NA,"Sam Cassell","PG",95,93,65,94,84,74,43,NA,NA,NA
"98",NA,"Arvydas Sabonis","C",95,80,83,74,69,80,93,NA,NA,NA
"99",NA,"Tim Hardaway","PG",95,91,59,95,91,79,44,NA,NA,NA
"100",NA,"Earl Monroe","PG",95,92,64,90,90,74,55,NA,NA,NA
"101",NA,"Alex English","SF",95,86,88,86,89,69,65,NA,NA,NA
"102",NA,"Ron Artest","SF",95,87,78,71,87,91,52,NA,NA,NA
"103",NA,"Manu Ginobili","SG",95,94,68,91,78,74,58,NA,NA,NA
"104",NA,"George McGinnis","PF",95,76,88,75,85,78,97,NA,NA,NA
"105",NA,"Willis Reed","C",95,66,90,52,87,87,96,NA,NA,NA
"106",NA,"Lou Hudson","SF",95,92,79,77,88,80,53,NA,NA,NA
"107",NA,"Dominique Wilkins","SF",95,88,89,74,90,77,77,NA,NA,NA
"108",NA,"Magic Johnson","PG",95,83,74,97,88,84,66,NA,NA,NA
"109",NA,"David Robinson","C",95,75,88,51,82,93,95,NA,NA,NA
"110",NA,"Patrick Ewing","C",95,75,89,60,79,85,95,NA,NA,NA
"111",NA,"Elvin Hayes","PF",95,68,88,56,82,86,98,NA,NA,NA
"112",NA,"Kiki Vanderweghe","SF",95,95,78,76,82,67,49,NA,NA,NA
"113",NA,"Paul George","SF",95,89,76,77,84,80,64,NA,NA,NA
"114",NA,"Ben Wallace","C",95,46,85,52,89,97,97,NA,NA,NA
"115",NA,"Deron Williams","PG",95,93,69,94,88,78,39,NA,NA,NA
"116",NA,"Alonzo Mourning","C",95,73,91,48,77,84,93,NA,NA,NA
"117",NA,"Jay Williams","PG",95,91,71,91,89,82,43,85000,90000,NA
"118",NA,"Michael Jordan","SG",95,90,86,88,90,86,49,520000,350000,NA
"119",NA,"Bob Cousy","PG",95,97,70,98,95,83,75,85000,78000,NA
"120",NA,"Paul George","SF",95,94,82,74,88,86,62,62000,60000,NA
"121",NA,"Marc Gasol","C",95,85,89,78,73,92,95,44000,60000,NA
"122",NA,"Paul Pierce","SF",95,94,84,83,86,88,76,35000,45000,NA
"123",NA,"Mark Aguirre","SF",95,87,89,75,83,81,71,NA,20000,NA
"124",NA,"Wes Unseld","C",95,78,96,89,90,94,98,NA,40000,NA
"125",NA,"C.J. McCollum","SG",95,97,68,87,82,71,62,NA,60000,NA
"126",NA,"Larry Bird","SF",95,95,86,88,79,93,91,NA,NA,NA
"127",NA,"Rajon Rondo","PG",95,92,68,98,90,84,74,NA,50000,NA
"128",NA,"Lebron James","SF",95,90,86,89,94,91,74,NA,170000,NA
"129",NA,"Andrew Wiggins","SF",95,92,83,74,89,90,73,NA,130000,NA
"130",NA,"Joel Embiid","C",95,87,92,71,82,88,97,NA,200000,NA
"131",NA,"Sleepy Floyd","PG",95,95,67,95,87,80,30,NA,30000,NA
"132",NA,"Shawn Kemp","PF",95,83,96,63,92,85,95,NA,100000,NA
"133",NA,"Kyle Lowry","PG",95,95,61,95,92,86,60,NA,NA,NA
"134",NA,"Rudy Gobert","C",95,52,90,38,83,92,98,NA,NA,NA
"135",NA,"Mike Conley","PG",95,94,62,95,85,79,42,NA,45000,NA
"136",NA,"Kevin Johnson","PG",95,94,77,97,89,79,47,NA,45000,NA
"137",NA,"Shawn Marion","SF",95,88,91,58,89,93,97,NA,45000,NA
"138",NA,"Chris Webber","PF",95,83,93,85,91,90,97,NA,140000,NA
"139",NA,"Russell Westbrook","PG",95,92,72,95,94,72,81,NA,200000,NA
"140",NA,"Nate Archibald","PG",95,95,69,98,89,84,31,37000,32000,NA
"141",NA,"Penny Hardaway","PG",95,89,80,93,89,81,64,270000,250000,NA
"142",NA,"Scottie Pippen","SF",95,87,86,89,88,92,82,NA,NA,NA
"143",NA,"Clyde Drexler","SG",95,89,90,91,91,88,77,NA,NA,NA
"144",NA,"Derrick Rose","PG",95,92,74,94,92,74,49,230000,250000,NA
"145",NA,"Jason Kidd","PG",95,90,69,97,89,86,53,100000,100000,NA
"146",NA,"Amar'e Stoudemire","PF",95,82,97,63,88,82,94,NA,45000,NA
"147",NA,"Ralph Sampson","C",95,76,94,79,83,90,97,NA,125000,NA
"148",NA,"Bradley Beal","SG",95,97,68,84,85,77,77,NA,58000,NA
"149",NA,"Kobe Bryant","SG",95,93,78,78,88,79,60,NA,280000,NA
"150",NA,"Kyrie Irving","PG",95,97,65,94,88,78,43,NA,NA,NA
"151",NA,"Deron Williams","PG",95,95,68,98,89,79,39,NA,NA,NA
"152",NA,"Draymond Green","PF",95,90,86,94,91,98,92,NA,NA,NA
"153",NA,"Stephen Curry","PG",95,97,63,96,91,77,69,NA,480000,NA
"154",NA,"Steve Smith","SG",94,94,73,79,82,74,51,NA,NA,NA
"155",NA,"Zydrunas Ilgauskas","C",94,85,83,43,67,78,97,NA,NA,NA
"156",NA,"David West","PF",94,80,84,70,78,78,94,NA,NA,NA
"157",NA,"Peja Stojakovic","SF",94,97,74,79,83,75,57,NA,NA,NA
"158",NA,"Kyrie Irving","PG",94,97,65,94,88,68,43,NA,NA,NA
"159",NA,"Mark Jackson","PG",94,93,65,98,88,78,87,NA,25000,NA
"160",NA,"Lamarcus Aldridge","PF",94,90,88,51,79,78,96,NA,NA,NA
"161",NA,"Jason Terry","PG",94,96,63,94,85,71,50,NA,35000,NA
"162",NA,"Wilt Chamberlain","C",94,60,88,56,83,82,93,90000,90000,NA
"163",NA,"James Harden","SG",94,95,77,95,87,71,83,100000,45000,NA
"164",NA,"Tracy McGrady","SG",94,88,83,83,88,80,65,300000,285000,NA
"165",NA,"Tim Duncan","PF",94,64,84,52,74,85,94,30000,29000,NA
"166",NA,"Jimmer Fredette","PG",94,98,63,91,89,77,50,210000,240000,NA
"167",NA,"Tyler Hansbrough","PF",94,85,93,50,80,79,97,95000,93000,NA
"168",NA,"Jerry West","PG",94,89,66,94,86,80,65,90000,85000,NA
"169",NA,"Kemba Walker","PG",94,95,60,94,89,78,52,NA,70000,NA
"170",NA,"Kawhi Leonard","SF",94,91,77,65,85,89,79,NA,45000,NA
"171",NA,"Andre Drummond","C",94,46,93,48,83,87,98,NA,100000,NA
"172",NA,"Gordon Hayward","SF",94,95,83,84,85,74,64,NA,40000,NA
"173",NA,"Yao Ming","C",94,70,81,55,60,80,96,135000,135000,NA
"174",NA,"Demarcus Cousins","C",94,82,92,70,75,80,96,NA,70000,NA
"175",NA,"Demar Derozan","SG",94,89,83,85,83,70,62,NA,NA,NA
"176",NA,"Kareem Adbul-Jabbar","C",94,65,92,62,72,80,93,100000,100000,NA
"177",NA,"Richard Hamilton","SG",94,92,69,81,81,79,42,NA,NA,NA
"178",NA,"Bill Russell","C",94,49,83,73,85,92,95,96000,95000,NA
"179",NA,"Dikembe Mutombo","C",94,46,75,38,75,92,98,100000,100000,NA
"180",NA,"Tom Chambers","PF",94,83,94,59,82,73,90,NA,NA,NA
"181",NA,"Allen Iverson","SG",94,87,63,89,92,79,43,NA,NA,NA
"182",NA,"Shaquille O'Neal","C",94,46,89,61,83,87,93,NA,NA,NA
"183",NA,"Rolando Blackman","SG",94,93,76,79,85,75,54,NA,NA,NA
"184",NA,"Drazen Petrovic","SG",94,97,68,79,80,73,53,NA,NA,NA
"185",NA,"Julius Erving","SF",94,80,85,77,91,86,68,NA,NA,NA
"186",NA,"Larry Johnson","PF",94,83,89,74,85,81,92,NA,NA,NA
"187",NA,"Elton Brand","C",94,71,86,52,75,80,96,NA,NA,NA
"188",NA,"Zach Randolph","PF",94,80,89,48,73,74,91,NA,NA,NA
"189",NA,"Clyde Drexler","SG",93,85,85,79,87,83,72,NA,NA,NA
"190",NA,"Oscar Robertson","PG",93,85,71,96,84,84,66,85000,65000,NA
"191",NA,"Jimmy Butler","SG",93,90,76,77,83,83,81,48000,39000,NA
"192",NA,"Nick Van Exel","PG",93,96,58,92,85,59,55,NA,20000,NA
"193",NA,"Paul Millsap","PF",93,85,87,79,86,89,91,NA,55000,NA
"194",NA,"Deandre Jordan","C",93,44,87,45,84,90,97,NA,75000,NA
"195",NA,"Kristaps Porzingis","PF",93,87,85,77,78,80,86,NA,190000,NA
"196",NA,"Eric Gordon","SG",93,95,67,83,84,75,41,NA,95000,NA
"197",NA,"Blake Griffin","PF",93,75,94,75,86,78,93,120000,80000,NA
"198",NA,"Antoine Walker","PF",93,92,85,84,90,85,91,NA,85000,NA
"199",NA,"Brad Daugherty","C",93,80,92,69,79,83,94,NA,NA,NA
"200",NA,"Larry Nance","SF",92,79,86,52,84,81,96,NA,NA,NA
"201",NA,"Joakim Noah","C",92,61,85,57,83,88,97,NA,NA,NA
"202",NA,"Horace Grant","PF",92,65,84,56,75,87,97,NA,NA,NA
"203",NA,"Jason Richardson","SG",92,92,87,82,86,76,63,NA,NA,NA
"204",NA,"John Starks","SG",92,90,65,92,84,77,36,NA,NA,NA
"205",NA,"Tyson Chandler","C",92,54,84,50,72,88,98,NA,NA,NA
"206",NA,"Richard Jefferson","SF",92,91,83,69,86,77,47,NA,NA,NA
"207",NA,"Danny Green","SG",92,93,68,76,82,85,54,NA,NA,NA
"208",NA,"Jae Crowder","SF",92,88,75,75,86,89,69,NA,NA,NA
"209",NA,"Antonio Davis","C",92,71,90,45,74,82,94,NA,NA,NA
"210",NA,"Bob McAdoo","C",92,65,95,78,92,90,98,NA,19000,NA
"211",NA,"Bob Pettit","PF",92,88,84,66,77,82,90,NA,18000,NA
"212",NA,"Kenny Smith","PG",92,92,65,96,87,72,32,NA,NA,NA
"213",NA,"J.R. Smith","SG",92,94,72,84,83,79,68,NA,75000,NA
"214",NA,"Avery Bradley","SG",92,90,64,83,88,88,64,NA,NA,NA
"215",NA,"Patrick Mills","PG",92,94,56,91,80,68,36,NA,NA,NA
"216",NA,"Tom Heinsohn","PF",92,90,77,61,76,88,86,NA,9000,NA
"217",NA,"Michael Jordan","SG",92,81,83,80,89,85,49,125000,155000,NA
"218",NA,"Dirk Nowitzki","PF",92,91,81,51,66,67,81,85000,85000,NA
"219",NA,"Karl-Anthony Towns","C",92,81,85,61,82,74,94,NA,NA,NA
"220",NA,"Ray Allen","SG",92,93,73,73,85,73,44,39000,39000,NA
"221",NA,"Richard Hamilton","SG",92,93,68,76,78,78,42,17000,15000,NA
"222",NA,"David West","PF",92,79,82,59,71,75,93,NA,12000,NA
"223",NA,"Dale Ellis","SG",92,93,76,74,82,68,60,19000,20000,NA
"224",NA,"Jason Terry","PG",92,94,62,87,79,60,35,22000,28000,NA
"225",NA,"Allan Houston","SG",92,95,67,77,84,71,43,20000,24000,NA
"226",NA,"Demar Derozan","SG",92,87,83,77,83,67,62,NA,NA,NA
"227",NA,"Bradley Beal","SG",92,93,68,79,80,70,77,NA,NA,NA
"228",NA,"Devin Booker","SG",92,94,63,78,77,62,40,NA,NA,NA
"229",NA,"Hassan Whiteside","C",92,61,85,40,73,80,97,NA,NA,NA
"230",NA,"Giannis Antetokounmpo","SF",92,84,78,84,87,86,74,NA,NA,NA
"231",NA,"Kevin Durant","SF",92,92,75,73,78,73,66,70000,70000,NA
"232",NA,"Dwyane Wade","SG",92,83,75,84,88,78,65,74000,85000,NA
"233",NA,"Pau Gasol","C",92,79,85,65,66,78,92,55000,70000,NA
"234",NA,"Joe Dumars","SG",92,89,60,86,80,83,37,42000,50000,NA
"235",NA,"Kawhi Leonard","SF",92,88,76,65,85,87,65,60000,47000,NA
"236",NA,"Spencer Haywood","PF",92,75,89,55,85,76,98,30000,30000,NA
"237",NA,"Terrell Brandon","PG",92,93,61,93,89,77,52,22000,16000,NA
"238",NA,"Larry Bird","SF",92,87,72,79,79,85,76,65000,65000,NA
"239",NA,"Chauncey Billups","PG",92,94,62,91,87,81,43,40000,40000,NA
"240",NA,"Dave Debusschere","PF",92,90,90,82,85,97,96,NA,20000,NA
"241",NA,"Goran Dragic","PG",92,95,62,93,82,71,44,NA,20000,NA
"242",NA,"Stephen Jackson","SF",92,92,76,72,88,79,54,NA,NA,NA
"243",NA,"C.J. McCollum","SG",92,95,59,83,81,67,62,NA,NA,NA
"244",NA,"John Wall","PG",92,89,64,96,87,77,72,NA,NA,NA
"245",NA,"Shane Battier","SF",92,86,70,69,84,89,56,30000,38000,NA
"246",NA,"Damian Lillard","PG",92,95,65,87,87,65,49,NA,NA,NA
"247",NA,"Karl Malone","PF",92,70,85,69,76,86,81,18000,18000,NA
"248",NA,"Kenyon Martin","PF",92,72,90,52,84,84,96,20000,18000,NA
"249",NA,"Aaron Gordon","PF",92,86,91,49,86,75,94,NA,38000,NA
"250",NA,"Brook Lopez","C",92,85,86,54,66,79,86,NA,22000,NA
"251",NA,"Harrison Barnes","SF",92,91,73,68,86,76,63,NA,22000,NA
"252",NA,"Elgin Baylor","SF",92,83,78,82,87,76,84,40000,30000,NA
"253",NA,"Isaiah Thomas","PG",92,94,58,92,83,54,31,22000,19000,NA
"254",NA,"James Harden","SG",92,94,77,91,87,70,83,60000,65000,NA
"255",NA,"Anthony Davis","PF",92,76,84,58,82,80,93,58000,40000,NA
"256",NA,"Robert Parish","C",92,61,81,46,68,80,95,20000,18000,NA
"257",NA,"Steve Nash","PG",92,88,57,93,85,74,49,96000,100000,NA
"258",NA,"Jason Kidd","PG",92,81,62,93,87,81,53,40000,45000,NA
"259",NA,"John Stockton","PG",92,85,52,96,80,80,40,54000,70000,NA
"260",NA,"Russell Westbrook","PG",92,84,70,92,91,69,77,38000,35000,NA
"261",NA,"Demarcus Cousins","C",92,81,91,70,72,74,95,44000,48000,NA
"262",NA,"Hakeem Olajuwon","C",92,68,80,57,75,86,88,78000,80000,NA
"263",NA,"Kevin Garnett","PF",92,73,81,61,75,85,88,90000,90000,NA
"264",NA,"Dennis Rodman","PF",92,59,74,49,85,87,99,55000,50000,NA
"265",NA,"Jerry West","PG",92,86,67,82,85,84,66,50000,45000,NA
"266",NA,"Tim Duncan","PF",92,62,79,50,72,81,91,64000,70000,NA
"267",NA,"Vince Carter","SF",92,87,82,81,85,74,56,160000,200000,NA
"268",NA,"Allen Iverson","SG",92,84,63,88,93,77,43,100000,100000,NA
"269",NA,"Lebron James","SF",92,81,79,84,89,81,73,58000,40000,NA
"270",NA,"Wilt Chamberlain","C",92,61,87,56,81,81,89,120000,150000,NA
"271",NA,"Michael Jordan","SG",92,74,81,78,89,86,49,NA,NA,NA
"272",NA,"Shaquille O'Neal","C",92,53,87,54,75,86,88,NA,NA,NA
"273",NA,"Dennis Johnson","PG",92,85,67,92,80,85,45,NA,NA,NA
"274",NA,"Spencer Haywood","PF",92,71,88,55,83,76,95,NA,NA,NA
"275",NA,"Michael Finley","SF",92,88,81,69,82,69,65,NA,NA,NA
"276",NA,"Kevin Johnson","PG",92,88,66,94,84,72,47,NA,NA,NA
"277",NA,"Jim Jackson","SG",92,86,79,79,86,75,60,NA,NA,NA
"278",NA,"Steve Francis","PG",92,85,73,90,88,76,55,NA,NA,NA
"279",NA,"Dennis Johnson","PG",92,81,66,92,87,81,41,NA,NA,NA
"280",NA,"Jerry Stackhouse","SG",92,87,84,75,88,75,46,NA,NA,NA
"281",NA,"Shawn Marion","SF",92,80,84,58,85,88,82,NA,NA,NA
"282",NA,"Jamal Mashburn","SF",92,85,79,74,84,71,64,NA,NA,NA
"283",NA,"Amar'e Stoudemire","PF",91,71,91,50,78,73,79,NA,NA,NA
"284",NA,"World B. Free","PG",91,89,70,87,89,72,41,NA,NA,NA
"285",NA,"Glen Rice","SF",91,92,74,70,84,75,61,NA,NA,NA
"286",NA,"Kareem Adbul-Jabbar","C",91,62,86,62,72,80,86,120000,110000,NA
"287",NA,"Bob Lanier","C",91,73,84,63,75,77,96,80000,90000,NA
"288",NA,"Paul Pierce","SF",91,87,75,76,79,80,54,100000,100000,NA
"289",NA,"Magic Johnson","PG",91,80,73,94,85,82,66,35000,36000,NA
"290",NA,"Kobe Bryant","SG",91,87,77,78,88,76,60,38000,45000,NA
"291",NA,"Jimmy Butler","SG",91,87,75,72,83,81,75,25000,25000,NA
"292",NA,"Rick Barry","SF",91,84,77,74,86,79,80,29000,21000,NA
"293",NA,"Bob Cousy","PG",91,84,60,89,87,78,59,40000,30000,NA
"294",NA,"Gordon Hayward","SF",91,90,73,80,82,67,59,NA,NA,NA
"295",NA,"Jahlil Okafor","C",91,61,88,57,78,74,89,20000,23000,NA
"296",NA,"Buddy Hield","SG",91,96,59,74,83,72,60,40000,40000,NA
"297",NA,"Doug McDermott","SF",91,93,82,52,73,62,84,27000,26000,NA
"298",NA,"Mike Bibby","PG",91,93,62,88,79,67,44,NA,NA,NA
"299",NA,"Mychal Thompson","C",91,58,88,48,65,81,96,NA,NA,NA
"300",NA,"Myles Turner","C",91,83,88,41,74,74,93,NA,NA,NA
"301",NA,"David Lee","PF",91,69,88,70,74,75,96,NA,8000,NA
"302",NA,"Steven Adams","C",91,48,79,44,75,87,92,NA,NA,NA
"303",NA,"Al Horford","C",91,80,82,82,77,80,87,NA,NA,NA
"304",NA,"Joe Ingles","SF",91,90,78,83,83,86,58,NA,NA,NA
"305",NA,"Joe Johnson","SF",91,91,72,79,80,68,47,35000,35000,NA
"306",NA,"Fat Lever","PG",91,86,67,92,84,82,79,20000,19000,NA
"307",NA,"Ming Yao","C",91,68,79,55,60,77,90,8000,16000,NA
"308",NA,"Stephen Curry","PG",91,94,63,90,86,75,59,NA,80000,NA
"309",NA,"Mike Conley","PG",91,90,55,94,82,75,42,NA,18000,NA
"310",NA,"Kyrie Irving","PG",91,95,64,92,83,68,43,65000,50000,NA
"311",NA,"Rudy Gobert","C",91,51,82,38,67,82,96,14000,14000,NA
"312",NA,"Sam Jones","SG",91,92,67,73,84,71,48,39000,40000,NA
"313",NA,"Dwight Howard","C",91,44,83,46,79,86,93,26000,24000,NA
"314",NA,"Kevin Martin","SG",91,94,66,81,72,60,39,NA,10000,NA
"315",NA,"Jamal Murray","SG",91,91,65,84,77,71,55,NA,35000,NA
"316",NA,"Andrew Wiggins","SF",91,88,76,62,82,75,58,NA,NA,NA
"317",NA,"Nikola Jokic","C",91,81,85,77,70,75,92,NA,NA,NA
"318",NA,"Shaquille O'Neal","C",91,46,85,81,74,87,90,85000,90000,NA
"319",NA,"Tom Chambers","PF",91,78,88,59,80,73,81,35000,40000,NA
"320",NA,"Andre Iguodala","SF",91,81,79,89,87,90,45,NA,24000,NA
"321",NA,"Marcus Smart","PG",91,90,63,91,88,89,51,NA,NA,NA
"322",NA,"Kiki Vandeweghe","SF",91,91,75,74,82,67,49,NA,10000,NA
"323",NA,"J.J. Redick","SG",91,95,56,76,79,69,46,NA,NA,NA
"324",NA,"Kelly Olynyk","C",90,81,86,63,72,73,83,NA,NA,NA
"325",NA,"George Mikan","C",90,69,85,54,73,78,89,25000,25000,NA
"326",NA,"Nate Robinson","PG",90,90,67,85,89,70,30,60000,48000,NA
"327",NA,"Glenn Robinson III","SF",90,86,79,79,80,73,48,NA,38000,NA
"328",NA,"Kyle Korver","SG",90,93,62,81,74,75,58,40000,36000,NA
"329",NA,"Antonio McDyess","PF",90,65,87,41,72,77,90,16000,17000,NA
"330",NA,"Jalen Rose","SF",90,87,70,85,77,71,56,18000,20000,NA
"331",NA,"Enes Kanter","C",90,75,86,50,70,62,95,NA,NA,NA
"332",NA,"Dennis Schroder","PG",90,90,57,94,83,58,38,NA,NA,NA
"333",NA,"Connie Hawkins","SF",90,78,84,74,81,73,88,12000,13000,NA
"334",NA,"George Gervin","SF",90,81,83,71,85,72,55,88000,38000,NA
"335",NA,"Lebron James","SF",90,77,81,85,89,84,65,NA,NA,NA
"336",NA,"Kevin Garnett","PF",90,76,80,67,71,84,83,NA,NA,NA
"337",NA,"Russell Westbrook","PG",90,79,73,92,92,76,65,NA,NA,NA
"338",NA,"Kristaps Porzingis","PF",90,83,80,50,70,77,89,NA,NA,NA
