"","name","position","ovr","out","ins","pla","ath","def","reb","xbox","ps4","pc","NA"
"30",NA,"'05 Kevin Garnett","PF",97,87,89,74,87,84,96,350000,400000,NA
"31",NA,"'01 Vince Carter","SG",97,95,85,85,92,76,65,600000,650000,NA
"32",NA,"Russell Westbrook","PG",97,95,79,96,91,78,73,285000,180000,NA
"33",NA,"Kevin Durant","SF",97,93,88,84,86,77,80,150000,115000,NA
"34",NA,"Damian Lillard","PG",97,96,70,97,92,76,56,235000,155000,NA
"35",NA,"Klay Thompson","SG",97,98,77,79,89,86,49,330000,190000,NA
"36",NA,"'71 John Havlicek","SF",96,95,81,79,90,81,66,280000,100000,NA
"37",NA,"Karl-Anthony Towns","C",96,91,89,78,90,85,94,180000,130000,NA
"38",NA,"'06 Allen Iverson","SG",96,91,68,92,92,78,43,190000,150000,NA
"39",NA,"Draymond Green","PF",96,93,82,90,89,93,97,130000,110000,NA
"40",NA,"Lamarcus Aldridge","PF",96,93,89,61,83,79,90,120000,85000,NA
"41",NA,"'08 Paul Pierce","SF",96,97,83,77,86,83,59,215000,190000,NA
"42",NA,"'12 Deron Williams","PG",96,94,72,97,91,75,50,85000,75000,NA
"43",NA,"'12 Dwight Howard","C",96,56,93,50,91,91,98,170000,155000,NA
"44",NA,"'67 Rick Barry","SF",96,93,80,76,87,77,84,65000,60000,NA
"45",NA,"Kawhi Leonard","SF",96,91,80,62,87,93,67,105000,100000,NA
"46",NA,"James Harden","SG",96,95,80,93,88,68,58,120000,85000,NA
"47",NA,"Isaiah Thomas","PG",96,94,65,96,92,71,42,55000,50000,NA
"48",NA,"Paul Millsap","PF",96,88,90,69,86,91,95,90000,75000,NA
"49",NA,"'65 Bill Russell","C",96,57,86,73,89,92,98,70000,65000,NA
"50",NA,"'11 Ty Lawson","PG",96,94,62,96,91,80,63,85000,75000,NA
"51",NA,"'03 Tracy McGrady","SG",96,92,87,81,91,79,61,285000,245000,NA
"52",NA,"'89 Karl Malone","PF",96,78,94,66,84,82,95,200000,210000,NA
"53",NA,"'15 Russell Westbrook","PG",96,94,77,94,90,78,66,165000,240000,NA
"54",NA,"'12 Rajon Rondo","PG",96,91,65,96,91,81,69,110000,95000,NA
"55",NA,"'10 Dwyane Wade","SG",96,88,81,95,91,82,68,250000,250000,NA
"56",NA,"'12 Kevin Durant","SF",96,91,87,76,85,77,78,250000,150000,NA
"57",NA,"'75 Walt Frazier","PG",96,90,70,92,89,86,55,120000,160000,NA
"58",NA,"Demarcus Cousins","C",96,87,94,63,84,83,93,200000,150000,NA
"59",NA,"John Wall","PG",96,90,71,96,89,84,59,200000,160000,NA
"60",NA,"Kemba Walker","PG",96,93,66,95,90,80,69,100000,80000,NA
"61",NA,"'57 Bob Cousy","PG",96,92,65,98,83,82,59,70000,60000,NA
"62",NA,"Damian Lillard","PG",96,95,70,93,91,76,56,210000,150000,NA
"63",NA,"Paul George","SF",96,93,82,79,91,81,71,300000,260000,NA
"64",NA,"'86 Larry Bird","SF",96,94,77,86,73,88,76,130000,110000,NA
"65",NA,"'64 Oscar Robertson","PG",96,91,78,97,88,84,83,100000,85000,NA
"66",NA,"'90 Karl Malone","PF",96,83,94,66,85,83,97,180000,180000,NA
"67",NA,"'11 Kevin Love","PF",96,90,88,72,86,76,98,100000,100000,NA
"68",NA,"'09 J.R. Smith","SG",96,92,80,84,90,81,58,220000,200000,NA
"69",NA,"'09 Brandon Jennings","PG",96,96,65,94,87,75,50,100000,90000,NA
"70",NA,"Jimmy Butler","SG",96,92,78,83,87,86,73,200000,140000,NA
"71",NA,"'09 Jamal Crawford","SG",96,92,68,89,90,77,37,170000,150000,NA
"72",NA,"'07 Steve Nash","PG",96,95,61,98,85,75,42,750000,750000,NA
"73",NA,"LeBron James (Dynamic)","SF",96,81,84,89,92,87,65,100000,105000,NA
"74",NA,"Stephen Curry (Dynamic)","PG",96,96,65,97,85,73,54,170000,160000,NA
"75",NA,"Russell Westbrook (Dynamic)","PG",95,86,76,97,93,79,74,60000,68000,NA
"76",NA,"'88 Michael Jordan","SG",95,81,83,87,91,90,66,120000,95000,NA
"77",NA,"'93 Hakeem Olajuwon","C",95,74,88,60,77,91,90,55000,80000,NA
"78",NA,"'10 Luis Scola","PF",95,84,89,57,83,83,96,NA,NA,NA
"79",NA,"'85 Isiah Thomas","PG",95,87,65,98,90,82,52,30000,20000,NA
"80",NA,"'83 Larry Bird","SF",95,89,76,86,76,88,80,33000,35000,NA
"81",NA,"'87 Kevin McHale","PF",95,75,88,58,79,87,94,110000,170000,NA
"82",NA,"'73 Nate Archibald","PG",95,90,71,97,87,75,34,35000,35000,NA
"83",NA,"'07 Lebron James","SF",95,84,86,84,90,85,58,110000,90000,NA
"84",NA,"'11 Derrick Rose","PG",95,90,77,95,93,77,46,30000,35000,NA
"85",NA,"'83 Moses Malone","C",95,73,90,52,80,81,98,15000,17000,NA
"86",NA,"'14 Kevin Durant","SF",95,94,85,79,83,76,63,35000,40000,NA
"87",NA,"'01 Kobe Bryant","SG",95,89,80,89,87,76,56,100000,100000,NA
"88",NA,"'80 George Gervin","SF",95,89,82,82,86,82,82,30000,30000,NA
"89",NA,"'13 Chris Paul","PG",95,94,65,97,87,84,46,45000,50000,NA
"90",NA,"'56 Bob Pettit","PF",95,86,86,64,86,80,96,15000,17000,NA
"91",NA,"'67 Rick Barry","SF",95,94,79,81,87,77,78,35000,35000,NA
"92",NA,"'53 George Mikan","C",95,69,84,64,84,84,96,19000,25000,NA
"93",NA,"'77 Pete Maravich","SG",95,91,70,94,83,73,53,40000,60000,NA
"94",NA,"'02 Jason Kidd","PG",95,86,64,98,83,85,75,90000,120000,NA
"95",NA,"'80 George Gervin","SF",95,90,85,81,88,81,72,75000,60000,NA
"96",NA,"Dwyane Wade","SG",94,95,78,85,83,77,71,60000,55000,NA
"97",NA,"Demar Derozan","SG",94,94,80,81,83,68,50,38000,40000,NA
"98",NA,"'04 Kevin Garnett","PF",94,85,86,74,85,82,91,80000,70000,NA
"99",NA,"'00 Vince Carter","SG",94,91,84,81,90,74,56,120000,120000,NA
"100",NA,"'75 Bob McAdoo","C",94,75,89,65,88,86,96,45000,30000,NA
"101",NA,"'72 Artis Gilmore","C",94,68,80,53,81,81,96,11000,10000,NA
"102",NA,"'13 LeBron James","SF",94,81,83,83,90,86,64,NA,NA,NA
"103",NA,"'78 Bill Walton","C",94,69,86,78,76,84,95,13000,11000,NA
"104",NA,"'08 Amar'e Stoudemire","PF",94,80,91,54,89,77,90,160000,180000,NA
"105",NA,"'15 Stephen Curry","PG",94,95,64,95,80,74,51,35000,35000,NA
"106",NA,"'90 Dominique Wilkins","SF",94,89,87,71,93,78,79,200000,180000,NA
"107",NA,"'98 Shaquille O'Neal","C",94,57,87,61,74,86,92,120000,100000,NA
"108",NA,"'92 David Robinson","C",94,74,85,51,79,90,91,35000,45000,NA
"109",NA,"'87 Kareem Abdul-Jabar","C",94,72,88,62,77,83,89,85000,65000,NA
"110",NA,"Kevin Durant (Dynamic)","SF",94,93,83,80,79,73,68,40000,35000,NA
"111",NA,"LeBron James","SF",94,81,83,84,91,86,56,13000,16000,NA
"112",NA,"Kawhi Leonard (Dynamic)","SF",94,91,77,62,88,90,67,70000,65000,NA
"113",NA,"Stephen Curry","PG",93,93,63,96,80,74,51,14000,15000,NA
"114",NA,"'71 Oscar Robertson","PG",93,88,72,96,83,84,66,22000,20000,NA
"115",NA,"'11 Dwight Howard","C",93,56,89,41,88,88,94,40000,60000,NA
"116",NA,"'59 Bob Pettit","PF",93,84,84,64,83,79,96,18000,15000,NA
"117",NA,"'94 Hakeem Olajuwon","C",93,77,86,61,76,90,82,50000,45000,NA
"118",NA,"'60 Bob Cousy","PG",93,87,64,97,75,81,54,NA,NA,NA
"119",NA,"'90 Patrick Ewing","C",93,76,85,60,74,85,89,NA,NA,NA
"120",NA,"'70 Willis Reed","C",93,79,89,59,77,82,94,9000,9000,NA
"121",NA,"'01 Allen Iverson","SG",93,88,65,89,92,79,43,20000,25000,NA
"122",NA,"'73 Dave Cowens","C",93,79,81,65,83,83,96,8000,9000,NA
"123",NA,"'95 Shaquille O'Neal","C",93,58,88,54,75,86,88,90000,65000,NA
"124",NA,"'06 Dwyane Wade","SG",93,83,78,91,89,78,57,50000,55000,NA
"125",NA,"'77 Bob Lanier","C",93,81,85,59,80,75,95,60000,60000,NA
"126",NA,"Kyle Lowry","PG",93,95,62,89,88,82,52,26000,30000,NA
"127",NA,"'16 Bismack Biyombo","C",93,57,84,46,90,91,98,35000,38000,NA
"128",NA,"'78 David Thompson","SG",93,87,84,82,93,82,71,50000,50000,NA
"129",NA,"'85 Bernard King","SF",93,86,84,81,83,78,60,NA,NA,NA
"130",NA,"'66 Jerry Lucas","PF",92,88,80,74,79,76,98,70000,55000,NA
"131",NA,"Deandre Jordan","C",92,51,83,38,89,88,91,45000,40000,NA
"132",NA,"'00 Grant Hill","SF",92,88,77,87,88,74,62,90000,130000,NA
"133",NA,"'91 Magic Johnson","PG",92,84,75,97,85,84,66,95000,100000,NA
"134",NA,"'82 Adrian Dantley","SF",92,87,83,80,83,69,69,20000,34000,NA
"135",NA,"'84 Kiki Vanderweghe","SF",92,91,82,72,83,70,55,35000,30000,NA
"136",NA,"'71 Spencer Haywood","PF",92,77,88,55,87,76,95,50000,30000,NA
"137",NA,"'08 Chris Paul","PG",92,87,64,97,82,83,46,35000,22000,NA
"138",NA,"'05 Steve Nash","PG",92,93,59,96,81,69,40,45000,30000,NA
"139",NA,"C.J. McCollum","SG",92,95,63,85,89,65,38,20000,20000,NA
"140",NA,"'87 Tom Chambers","SF",92,91,89,59,86,77,71,25000,30000,NA
"141",NA,"'97 Glen Rice","SF",92,96,81,68,82,77,62,33000,40000,NA
"142",NA,"'95 Mitch Richmond","SG",92,94,77,76,88,76,72,40000,45000,NA
"143",NA,"'79 David Thompson","SG",92,85,84,80,92,80,69,25000,25000,NA
"144",NA,"Klay Thompson","SG",92,96,71,68,85,81,46,80000,85000,NA
"145",NA,"'07 Ray Allen","SG",92,95,76,74,85,71,44,NA,NA,NA
"146",NA,"'94 Scottie Pippen","SF",92,84,78,78,80,87,70,NA,NA,NA
"147",NA,"'96 Gary Payton","PG",92,83,70,91,86,88,42,25000,20000,NA
"148",NA,"'08 Allen Iverson","SG",92,89,66,85,88,75,43,30000,20000,NA
"149",NA,"Anthony Davis","PF",92,75,86,60,84,90,83,9500,10000,NA
"150",NA,"Chris Paul (Dynamic)","PG",92,90,65,97,84,80,46,19000,15000,NA
"151",NA,"James Harden (Dynamic)","SG",92,88,78,90,88,67,58,22000,18000,NA
"152",NA,"James Harden","SG",92,86,76,91,88,74,57,8500,9000,NA
"153",NA,"Anthony Davis (Dynamic)","PF",91,83,86,59,84,87,80,40000,30000,NA
"154",NA,"Kevin Durant","SF",91,91,80,76,79,72,62,10000,11000,NA
"155",NA,"'08 Kevin Garnett","PF",91,82,81,67,75,84,83,25000,25000,NA
"156",NA,"'93 Chris Mullin","SF",91,93,70,74,82,81,59,NA,NA,NA
"157",NA,"'08 Paul Pierce","SF",91,91,77,76,80,81,54,30000,30000,NA
"158",NA,"'99 Jason Kidd","PG",91,85,62,96,83,78,45,NA,NA,NA
"159",NA,"'09 Dwight Howard","C",91,54,85,41,87,85,92,45000,50000,NA
"160",NA,"'95 Clyde Drexler","SG",91,88,82,78,84,83,67,NA,NA,NA
"161",NA,"'82 Bernard King","SF",91,84,79,83,85,78,60,20000,15000,NA
"162",NA,"Zach Lavine","PG",91,91,83,84,90,76,66,70000,70000,NA
"163",NA,"Karl-Anthony Towns","C",91,90,82,76,89,73,86,70000,70000,NA
"164",NA,"'72 Jerry West","PG",91,91,67,94,75,84,35,17000,20000,NA
"165",NA,"'72 Wilt Chamberlain","C",91,51,71,66,76,84,97,50000,40000,NA
"166",NA,"'65 Jerry West","PG",91,90,68,87,80,84,38,15000,17000,NA
"167",NA,"'65 Elgin Baylor","SF",91,84,80,79,83,82,87,28000,30000,NA
"168",NA,"Mike Conley","PG",91,89,60,95,84,72,40,10000,10000,NA
"169",NA,"Al-Farouq Aminu","SF",91,90,77,60,81,76,94,15000,12000,NA
"170",NA,"'10 Chris Bosh","PF",91,87,87,56,78,70,86,40000,38000,NA
"171",NA,"Shaun Livingston","PG",91,80,80,94,85,83,74,20000,20000,NA
"172",NA,"'69 Wes Unseld","C",91,65,83,75,87,82,98,35000,50000,NA
"173",NA,"Tony Allen","SG",91,82,75,57,94,92,69,23000,18000,NA
"174",NA,"Avery Bradley","SG",91,89,63,71,90,90,44,23000,22000,NA
"175",NA,"Kevin Love","PF",91,93,81,65,84,61,95,35000,35000,NA
"176",NA,"'82 Robert Parish","C",90,66,87,46,74,80,88,40000,NA,NA
"177",NA,"Goran Dragic","PG",90,90,65,90,83,67,51,9000,10000,NA
"178",NA,"'75 George McGinnis","PF",90,84,85,67,84,73,92,25000,45000,NA
"179",NA,"'01 Jerry Stackhouse","SG",90,90,80,76,85,71,46,45000,100000,NA
"180",NA,"'68 Dave Debusschere","SF",90,80,75,65,81,83,91,19000,32000,NA
"181",NA,"'95 Patrick Ewing","C",90,78,83,60,66,84,86,47000,60000,NA
"182",NA,"'97 Kevin Johnson","PG",90,89,73,94,84,65,47,18000,20000,NA
"183",NA,"'15 Giannis Antetokounmpo","SF",90,80,79,80,83,79,73,40000,40000,NA
"184",NA,"Luol Deng","SF",90,90,71,69,82,79,68,10000,10000,NA
"185",NA,"Jamal Crawford","SG",90,91,65,85,80,67,33,16000,16000,NA
"186",NA,"'89 Dale Ellis","SG",90,94,73,73,84,69,55,35000,30000,NA
"187",NA,"'14 Tony Parker","PG",90,86,65,94,84,69,44,NA,NA,NA
"188",NA,"'86 Michael Jordan","SG",90,76,82,78,88,86,49,60000,75000,NA
"189",NA,"'10 Pau Gasol","PF",90,81,83,59,70,71,86,NA,NA,NA
"190",NA,"Marc Gasol","C",90,80,84,68,68,83,74,17000,17000,NA
"191",NA,"Aaron Gordon","PF",90,87,91,69,86,69,87,40000,40000,NA
"192",NA,"'86 Kevin McHale","PF",90,70,83,56,71,84,85,28000,30000,NA
"193",NA,"'05 Jermaine O'Neal","C",90,71,87,57,76,74,88,15000,20000,NA
"194",NA,"'13 Dwyane Wade","SG",90,81,75,87,84,83,54,NA,NA,NA
"195",NA,"'98 Karl Malone","PF",90,77,83,66,75,82,83,30000,25000,NA
"196",NA,"'01 Vlade Divac","C",90,78,80,73,77,73,89,85000,50000,NA
"197",NA,"'93 Mark Price","PG",90,95,59,92,77,61,38,40000,90000,NA
"198",NA,"'08 Carmelo Anthony","SF",90,87,81,76,86,69,65,45000,45000,NA
"199",NA,"'84 Mark Aguirre","SF",90,84,85,76,84,74,57,10000,9000,NA
"200",NA,"'93 Joe Dumars","SG",90,88,63,81,79,83,34,NA,NA,NA
"201",NA,"'84 Ralph Sampson","C",90,66,81,49,82,83,84,NA,NA,NA
"202",NA,"'52 Bob Cousy","PG",90,86,61,92,75,80,54,10000,12000,NA
"203",NA,"'07 Brian Scalabrine","PF",90,93,80,73,81,79,83,NA,NA,NA
"204",NA,"'01 Gary Payton","PG",90,82,70,92,85,84,41,17000,16000,NA
"205",NA,"'98 David Robinson","C",90,74,82,51,69,82,91,20000,22000,NA
"206",NA,"'00 Alonzo Mourning","C",90,74,84,41,74,87,86,17000,20000,NA
"207",NA,"Damian Lillard","PG",90,90,66,91,88,65,56,35000,35000,NA
"208",NA,"Chris Paul","PG",90,89,62,95,80,80,42,6000,6500,NA
"209",NA,"'85 Moses Malone","C",90,69,86,52,72,80,91,17000,15000,NA
"210",NA,"Paul George (Dynamic)","SF",90,86,75,77,83,80,64,20000,18000,NA
"211",NA,"Klay Thompson (Dynamic)","SG",90,93,73,69,82,83,48,35000,40000,NA
"212",NA,"DeMarcus Cousins (Dynamic)","C",90,84,90,67,74,73,89,48000,40000,NA
"213",NA,"John Wall (Dynamic)","PG",89,81,66,92,89,77,50,25000,25000,200000
"214",NA,"LaMarcus Aldridge (Dynamic)","PF",89,83,83,51,73,71,78,8000,10000,125000
"215",NA,"Andre Drummond (Dynamic)","C",89,50,83,42,82,79,95,14000,16000,300000
"216",NA,"Damian Lillard (Dynamic)","PG",89,88,65,91,89,65,50,19000,25000,NA
"217",NA,"Draymond Green (Dynamic)","PF",89,80,76,80,86,89,85,38000,40000,NA
"218",NA,"'86 Dominique Wilkins","SF",89,83,84,60,88,77,70,7500,9000,NA
"219",NA,"'59 Elgin Baylor","SF",89,80,77,76,83,77,89,3500,3500,NA
"220",NA,"Russell Westbrook","PG",89,83,71,92,90,73,67,4000,4000,4500
"221",NA,"'08 Tracy McGrady","SG",89,84,80,83,85,77,55,20000,20000,NA
"222",NA,"'98 Dikembe Mutombo","C",89,49,74,37,71,89,87,4000,3000,NA
"223",NA,"'15 Kawhi Leonard","SF",89,80,69,61,84,89,69,6000,4500,NA
"224",NA,"'83 Sidney Moncrief","SG",89,78,70,73,88,87,53,1800,1800,NA
"225",NA,"'69 Lenny Wilkens","PG",89,84,65,86,86,78,52,3200,3000,NA
"226",NA,"'10 Chauncey Billups","PG",89,87,62,87,84,79,48,4500,5000,NA
"227",NA,"'91 Bernard King","SF",89,82,76,76,82,78,60,7000,NA,NA
"228",NA,"'06 Shaquille O'Neal","C",89,55,82,60,71,84,85,19000,20000,NA
"229",NA,"'73 Spencer Haywood","PF",89,76,85,55,83,76,81,4000,4000,NA
"230",NA,"'08 Yao Ming","C",89,75,80,55,59,74,85,50000,60000,NA
"231",NA,"'97 Latrell Sprewell","SF",89,90,79,83,84,70,43,10000,6000,NA
"232",NA,"'82 Jack Sikma","C",89,79,78,62,76,75,91,8000,6000,NA
"233",NA,"'15 Matt Barnes","SF",89,87,72,82,81,69,72,6000,7000,NA
"234",NA,"'87 Sleepy Floyd","PG",89,87,65,94,82,66,30,8000,7000,NA
"235",NA,"'79 Dennis Johnson","PG",89,83,65,81,85,87,44,4000,5000,NA
"236",NA,"'95 Jason Kidd","PG",89,80,60,97,83,78,53,5000,5000,NA
"237",NA,"'01 Antoine Walker","SF",89,87,72,75,81,72,75,5000,9000,NA
"238",NA,"'04 Peja Stojakovic","SF",89,96,70,70,76,73,51,20000,25000,NA
"239",NA,"'85 Michael Ray RIchardson","PG",89,82,69,91,87,87,58,NA,NA,NA
"240",NA,"Tristan Thompson","C",89,67,85,53,85,74,96,NA,NA,NA
"241",NA,"'97 Mitch Richmond","SG",89,93,72,67,85,71,56,35000,30000,NA
"242",NA,"'51 George Mikan","C",89,63,77,54,69,82,93,18000,13000,NA
"243",NA,"'88 Fat Lever","PG",89,82,66,88,84,82,75,10000,8000,NA
"244",NA,"Austin Rivers","PG",89,90,64,89,87,73,59,1900,1800,NA
"245",NA,"Steven Adams","C",89,60,78,42,81,76,96,2500,2500,NA
"246",NA,"'72 Walt Frazier","PG",89,82,64,84,84,84,55,6000,5000,NA
"247",NA,"'69 Earl Monroe","PG",89,87,64,84,88,74,46,15000,16000,NA
"248",NA,"'97 Tim Hardaway","PG",89,88,60,93,84,71,42,9000,9000,NA
"249",NA,"'91 Clyde Drexler","SG",89,86,83,76,83,82,66,NA,NA,NA
"250",NA,"'11 Kevin Love","PF",88,86,78,69,77,64,89,9000,8500,NA
"251",NA,"Cory Joseph","PG",88,91,57,87,79,78,69,3000,3500,NA
"252",NA,"'00 Glenn Robinson","SF",88,89,79,67,79,70,74,29000,30000,NA
"253",NA,"'90 Tom Chambers","SF",88,86,85,58,84,70,71,NA,NA,NA
"254",NA,"'07 Michael Redd","SG",88,91,70,74,79,72,41,15000,13000,NA
"255",NA,"'01 Steve Francis","PG",88,87,67,88,89,71,48,13000,10000,NA
"256",NA,"'05 Amar'e Stoudemire","PF",88,78,88,50,80,71,79,8500,8000,NA
"257",NA,"Enes Kanter","C",88,87,87,46,70,57,94,2000,2000,NA
"258",NA,"'03 Dirk Nowitzki","PF",88,91,80,61,67,65,75,10000,9000,NA
"259",NA,"'93 Dan Majerle","SG",88,91,65,71,86,81,59,NA,NA,NA
"260",NA,"'89 Isiah Thomas","PG",88,84,61,93,85,73,40,NA,NA,NA
"261",NA,"Tony Parker","PG",88,91,65,85,77,67,36,3500,4000,NA
"262",NA,"'89 Joe Dumars","SG",88,87,60,79,79,82,34,8000,NA,NA
"263",NA,"'72 Elvin Hayes","PF",88,67,83,55,86,80,86,NA,NA,NA
"264",NA,"'06 Richard Hamilton","SG",88,91,69,75,75,77,42,NA,NA,NA
"265",NA,"'96 Penny Hardaway","PG",88,86,79,88,81,75,47,NA,NA,NA
"266",NA,"'85 Kevin McHale","PF",88,70,83,54,71,82,78,2700,2500,NA
"267",NA,"'13 Marc Gasol","C",88,74,80,62,65,85,77,2000,2000,NA
"268",NA,"'04 Ron Artest","SF",88,76,74,72,83,90,52,2000,1800,NA
"269",NA,"'03 Ben Wallace","C",88,49,66,47,89,90,94,2500,2500,NA
"270",NA,"'85 Julius Erving","SF",88,79,79,70,86,84,57,NA,NA,NA
"271",NA,"Blake Griffin","PF",88,80,87,72,86,71,72,2500,3000,4000
"272",NA,"Blake Griffin (Dynamic)","PF",88,79,89,73,87,70,73,15000,20000,200000
"273",NA,"Carmelo Anthony","SF",88,86,78,73,84,69,64,2800,2800,5200
"274",NA,"LaMarcus Aldridge","PF",88,84,82,51,72,70,78,2500,3000,3800
"275",NA,"'91 Chris Mullin","SF",88,90,69,68,81,80,54,NA,35000,NA
"276",NA,"'04 Chauncey Billups","PG",88,84,60,88,83,79,48,NA,15000,NA
"277",NA,"'85 Michael Jordan","SG",88,77,81,78,87,81,58,10000,10000,NA
"278",NA,"DeMar DeRozan (Dynamic)","SG",88,83,79,79,82,68,50,30000,30000,60000
"279",NA,"Carmelo Anthony (Dynamic)","SF",88,87,77,78,83,71,65,13000,12000,355000
"280",NA,"Kyrie Irving (Dynamic)","PG",88,91,63,85,81,64,44,11000,15000,500000
"281",NA,"Jimmy Butler (Dynamic)","SG",88,83,72,76,85,82,51,17000,18000,80000
"282",NA,"Dwyane Wade (Dynamic)","SG",87,82,76,84,83,77,55,12000,7000,180000
"283",NA,"Paul Millsap (Dynamic)","PF",87,82,81,65,81,84,77,3000,4000,65000
"284",NA,"'84 Bill Laimbeer","C",87,82,77,53,70,76,90,NA,NA,NA
"285",NA,"'04 Ben Wallace","C",87,53,67,47,84,92,89,NA,30000,NA
"286",NA,"Marc Gasol","C",87,71,80,62,65,85,73,1800,2000,3900
"287",NA,"Klay Thompson","SG",87,91,66,72,76,82,40,3000,3000,5500
"288",NA,"John Wall","PG",87,78,66,93,84,74,45,2000,2100,3100
"289",NA,"DeMarcus Cousins","C",87,71,82,63,67,73,89,3000,2700,4000
"290",NA,"Kyrie Irving","PG",87,89,62,84,81,64,41,3000,4000,3200
"291",NA,"Kawhi Leonard","SF",87,80,69,61,83,86,69,3500,4000,4000
"292",NA,"Tim Duncan","PF",87,66,78,58,61,82,83,1800,2000,2700
"293",NA,"'96 Shawn Kemp","PF",87,66,84,45,83,74,89,NA,NA,NA
"294",NA,"Hassan Whiteside","C",87,59,80,39,74,78,94,5000,9000,NA
"295",NA,"'87 Kiki Vandeweghe","SF",87,93,73,71,76,70,45,NA,NA,NA
"296",NA,"'85 Sidney Moncrief","SG",87,78,65,74,84,85,50,NA,4800,5000
"297",NA,"'70 Connie Hawkins","SF",87,72,81,74,81,75,74,NA,4000,NA
"298",NA,"'71 Pete Maravich","SG",87,82,67,93,75,65,45,NA,20000,NA
"299",NA,"'07 Vince Carter","SF",87,85,77,79,87,67,56,8500,8000,NA
"300",NA,"Marcus Smart","PG",87,86,64,82,85,82,76,1800,1800,NA
"301",NA,"Jonas Valanciunas","C",87,68,78,42,73,67,96,1800,1900,NA
"302",NA,"'08 Ray Allen","SG",87,93,66,73,80,71,44,11000,10000,NA
"303",NA,"'93 Drazen Petrovic","SG",87,96,63,72,72,62,41,NA,NA,NA
"304",NA,"'80 Micheal Ray Richardson","PG",87,71,65,93,87,88,58,NA,NA,NA
"305",NA,"'02 Shareef Abdur-Rahim","PF",87,82,85,64,79,72,85,NA,NA,NA
"306",NA,"Harrison Barnes","SF",87,90,72,77,84,63,78,NA,NA,NA
"307",NA,"'79 Bob Dandridge","SF",87,84,73,74,80,75,72,NA,NA,NA
"308",NA,"'65 Lenny Wilkens","PG",87,79,64,94,80,71,52,NA,NA,NA
"309",NA,"'94 Derrick Coleman","PF",87,80,80,58,79,72,87,NA,NA,NA
"310",NA,"'08 Elton Brand","C",87,70,85,52,76,74,81,3000,4000,NA
"311",NA,"'87 Rolando Blackman","SG",87,87,72,75,84,71,54,NA,NA,NA
"312",NA,"Bismack Biyombo","C",87,57,77,41,85,77,97,3000,3000,NA
"313",NA,"'98 Steve Smith","SG",87,89,76,72,79,69,51,NA,NA,NA
"314",NA,"'97 Glen Rice","SF",86,93,73,61,76,70,57,NA,NA,NA
"315",NA,"'89 Mark Jackson","PG",86,85,60,94,82,68,41,NA,NA,NA
"316",NA,"'98 Tim Duncan","PF",86,65,79,50,74,75,85,3000,2800,NA
"317",NA,"'01 Nick Van Exel","SG",86,86,56,85,84,63,37,NA,NA,NA
