"","name","position","ovr","out","ins","pla","ath","def","reb","xbox","ps4","pc","NA"
"45",NA,"Magic Johnson","PG",99,96,96,99,96,95,89,NA,NA,NA
"46",NA,"Larry Bird","SF",99,99,94,93,94,98,93,NA,NA,NA
"47",NA,"Manu Ginobili","SG",99,97,77,97,94,87,66,NA,NA,NA
"48",NA,"Tony Parker","PG",99,96,74,98,94,89,68,NA,NA,NA
"49",NA,"Tim Duncan","PF",99,86,97,76,93,98,98,NA,NA,NA
"50",NA,"Shaquille O'Neal","C",99,89,99,83,96,98,99,NA,NA,NA
"51",NA,"Kevin Garnett","PF",99,96,97,67,95,97,99,NA,NA,NA
"52",NA,"Tracy McGrady","SG",99,98,94,94,93,93,76,NA,NA,NA
"53",NA,"Julius Erving","SF",99,97,94,91,96,93,78,NA,NA,NA
"54",NA,"Dirk Nowitzki","PF",99,99,95,70,85,91,98,NA,NA,NA
"55",NA,"Lebron James","SF",99,99,99,99,99,99,99,NA,NA,NA
"56",NA,"Lebron James","SF",99,97,98,97,98,98,95,NA,NA,NA
"57",NA,"Lebron James","SF",99,99,99,99,99,99,99,NA,NA,NA
"58",NA,"Kobe Bryant","SG",99,99,99,99,99,99,99,NA,NA,NA
"59",NA,"Michael Jordan","SG",99,99,99,99,99,99,99,NA,NA,NA
"60",NA,"Brian Scalabrine","PF",99,93,93,86,85,94,98,NA,NA,NA
"61",NA,"Mitch Richmond","SG",99,99,89,92,96,93,77,NA,NA,NA
"62",NA,"Jimmy Butler","SF",99,95,90,89,94,94,85,NA,NA,NA
"63",NA,"Joel Embiid","C",99,92,97,73,93,90,98,NA,NA,NA
"64",NA,"George Mikan","C",99,92,96,72,92,93,99,NA,NA,NA
"65",NA,"Vince Carter","SG",99,98,92,87,96,94,85,NA,NA,NA
"66",NA,"Rudy Gay","SF",99,96,94,87,95,92,87,NA,NA,NA
"67",NA,"John Stockton","PG",99,99,72,99,94,92,81,NA,NA,NA
"68",NA,"Chris Webber","PF",99,96,98,87,94,95,98,NA,NA,NA
"69",NA,"John Havlicek","SF",99,98,87,84,93,92,63,NA,NA,NA
"70",NA,"Stephen Curry","PG",99,99,77,98,95,89,72,NA,NA,NA
"71",NA,"Klay Thompson","SG",99,99,84,89,93,96,80,NA,NA,NA
"72",NA,"Kevin Durant","SF",99,98,96,91,96,96,90,NA,NA,NA
"73",NA,"Paul Pierce","SF",99,98,93,83,92,94,88,NA,NA,NA
"74",NA,"Russell Westbrook","PG",99,98,90,99,98,94,98,NA,NA,NA
"75",NA,"Antawn Jamison","PF",99,96,96,76,92,92,98,NA,NA,NA
"76",NA,"Dikembe Mutombo","C",99,82,98,71,95,99,99,NA,NA,NA
"77",NA,"Kyrie Irving","PG",99,99,83,99,90,89,74,NA,NA,NA
"78",NA,"J.R Smith","SG",99,99,92,93,95,92,84,NA,NA,NA
"79",NA,"Jamal Crawford","SG",99,96,76,96,86,83,38,NA,NA,NA
"80",NA,"Draymond Green","PF",99,94,97,92,94,98,98,NA,NA,NA
"81",NA,"Scottie Pippen","SF",99,96,92,86,97,98,84,NA,NA,NA
"82",NA,"Bill Russell","C",99,85,99,83,96,99,99,NA,NA,NA
"83",NA,"Shawn Kemp","PF",99,90,98,80,95,91,98,NA,NA,NA
"84",NA,"Andrei Kirilenko","PF",99,96,92,91,94,97,98,NA,NA,NA
"85",NA,"Danny Granger","SF",99,96,91,79,91,92,84,NA,NA,NA
"86",NA,"Manute Bol","C",99,82,89,32,67,89,99,NA,NA,NA
"87",NA,"Kristaps Porzingis","PF",99,96,95,59,86,91,98,NA,NA,NA
"88",NA,"Dominique Wilkins","SF",99,97,92,90,93,86,77,NA,NA,NA
"89",NA,"Giannis Antetokounmpo","SF",99,93,96,87,94,95,95,NA,NA,NA
"90",NA,"Zydrunas Ilgauskas","C",99,86,90,53,80,89,98,NA,NA,NA
"91",NA,"Jason Richardson","SG",99,98,96,94,96,94,84,NA,NA,NA
"92",NA,"Michael Finley","SF",98,96,86,88,90,86,75,NA,NA,NA
"93",NA,"Bernard King","SF",98,95,96,84,93,91,60,NA,NA,NA
"94",NA,"Kevin Love","PF",98,95,95,64,89,85,99,NA,NA,NA
"95",NA,"Jermaine O'Neal","PF",98,91,97,64,91,89,98,NA,NA,NA
"96",NA,"Rudy Gobert","C",98,63,94,40,88,98,98,NA,NA,NA
"97",NA,"Arvydas Sabonis","C",98,88,88,91,85,90,97,NA,NA,NA
"98",NA,"Tom Gugiotta","PF",98,87,94,71,88,89,96,NA,NA,NA
"99",NA,"Joe Johnson","SF",98,97,85,84,86,78,47,NA,NA,NA
"100",NA,"Glen Rice","SF",98,97,91,84,91,87,89,NA,NA,NA
"101",NA,"Lebron James","SF",98,95,92,88,93,90,82,NA,NA,NA
"102",NA,"Dwight Howard","C",98,74,97,62,92,97,99,NA,NA,NA
"103",NA,"Kristaps Porzingis","PF",98,94,92,59,84,90,98,NA,NA,NA
"104",NA,"Jason Tatum","SF",98,96,88,83,91,88,71,NA,NA,NA
"105",NA,"Karl-Anthony Towns","C",98,91,95,68,90,93,98,NA,NA,NA
"106",NA,"Pascal Siakam","PF",98,95,94,78,91,95,96,NA,NA,NA
"107",NA,"Chauncey Billups","PG",98,97,87,98,95,94,77,NA,NA,NA
"108",NA,"Mark Eaton","C",98,70,92,35,85,91,98,NA,NA,NA
"109",NA,"Sidney Moncrief","SG",98,95,88,90,96,95,58,NA,NA,NA
"110",NA,"Kobe Bryant","SG",98,96,86,85,91,89,69,NA,NA,NA
"111",NA,"John Stockton","PG",98,98,60,99,91,90,69,NA,NA,NA
"112",NA,"Deandre Ayton","C",98,87,96,60,87,92,98,NA,NA,NA
"113",NA,"Dirk Nowitzki","PF",98,97,92,67,77,86,96,NA,NA,NA
"114",NA,"Hakeem Olajuwon","C",98,90,96,65,84,93,98,NA,NA,NA
"115",NA,"Dave Cowens","C",98,93,97,81,92,98,98,NA,NA,NA
"116",NA,"Demarcus Cousins","C",98,93,96,76,89,88,98,NA,NA,NA
"117",NA,"David Thompson","SG",98,94,93,87,95,91,82,NA,NA,NA
"118",NA,"Michael Jordan","SG",98,94,92,82,93,90,73,NA,NA,NA
"119",NA,"Alonzo Mourning","C",98,82,95,62,85,95,97,NA,NA,NA
"120",NA,"Kevin Garnett","PF",98,93,96,67,88,94,97,NA,NA,NA
"121",NA,"Damian Lillard","PG",98,98,80,98,92,82,74,NA,NA,NA
"122",NA,"Kyrie Irving","PG",98,97,70,99,88,83,66,NA,NA,NA
"123",NA,"Kyrie Irving","PG",98,98,71,99,89,83,66,NA,NA,NA
"124",NA,"Grant Hill","SF",98,97,90,92,96,91,84,NA,NA,NA
"125",NA,"Kevin Durant","SF",98,97,88,87,89,87,72,NA,NA,NA
"126",NA,"Patrick Ewing","C",98,87,95,73,90,92,97,NA,NA,NA
"127",NA,"Baron Davis","PG",98,96,74,94,92,83,69,NA,NA,NA
"128",NA,"Stephen Curry","PG",98,98,71,97,92,85,60,NA,NA,NA
"129",NA,"Dwyane Wade","SG",98,97,87,93,93,95,72,NA,NA,NA
"130",NA,"Bill Russell","C",98,71,98,80,95,99,99,NA,NA,NA
"131",NA,"Wes Unseld","C",98,82,97,89,91,91,98,NA,NA,NA
"132",NA,"Vince Carter","SG",98,97,92,87,94,90,76,NA,NA,NA
"133",NA,"Vince Carter","SG",98,97,92,87,94,90,76,NA,NA,NA
"134",NA,"James Harden","SG",98,94,84,82,92,82,72,NA,NA,NA
"135",NA,"Magic Johnson","PG",98,93,87,98,93,92,83,NA,NA,NA
"136",NA,"Oscar Robertson","PG",98,96,92,96,94,93,97,NA,NA,NA
"137",NA,"Clyde Drexler","SG",98,93,89,83,94,91,74,NA,NA,NA
"138",NA,"Brandon Roy","SG",98,94,87,85,90,86,64,NA,NA,NA
"139",NA,"Brandon Roy","SG",98,94,87,85,90,86,64,NA,NA,NA
"140",NA,"Brandon Roy","SG",98,94,87,85,90,86,64,NA,NA,NA
"141",NA,"Tim Ducan","PF",98,74,92,64,84,94,90,NA,NA,NA
"142",NA,"J.R. Smith","SG",98,98,86,92,93,91,68,NA,NA,NA
"143",NA,"Maurice Lucas","PF",97,79,90,57,86,93,91,NA,NA,NA
"144",NA,"Grant Hill","SF",97,93,85,86,91,82,70,NA,NA,NA
"145",NA,"Chris Webber","PF",97,94,98,82,89,92,98,NA,NA,NA
"146",NA,"John Stockton","PG",97,96,57,98,81,85,40,NA,NA,NA
"147",NA,"Dikembe Mutombo","C",97,59,90,42,86,95,98,NA,NA,NA
"148",NA,"Paul Pierce","SF",97,96,82,78,83,86,56,NA,NA,NA
"149",NA,"Manu Ginobili","SG",97,96,73,95,91,81,66,NA,NA,NA
"150",NA,"Julius Erving","SF",97,92,91,87,93,90,78,NA,NA,NA
"151",NA,"Allen Iverson","SG",97,92,67,95,94,80,43,NA,NA,NA
"152",NA,"Moses Malone","C",97,71,93,52,87,91,99,NA,NA,NA
"153",NA,"Blake Griffin","PF",97,90,97,76,92,84,97,NA,NA,NA
"154",NA,"Kareem Abdul-Jabbar","C",97,64,95,66,87,93,98,NA,NA,NA
"155",NA,"Kareem Abdul-Jabbar","C",97,64,95,66,87,93,98,NA,NA,NA
"156",NA,"Magic Johnson","PG",97,87,87,98,93,92,83,NA,NA,NA
"157",NA,"Gary Payton","PG",97,93,81,94,93,93,56,NA,NA,NA
"158",NA,"Shaquille O'Neal","C",97,61,93,54,88,93,98,NA,NA,NA
"159",NA,"Joe Dumars","SG",97,94,68,89,88,89,45,NA,NA,NA
"160",NA,"Jeremy Lin","PG",97,96,73,96,88,86,63,NA,NA,NA
"161",NA,"Bob McAdoo","C",97,75,97,78,87,90,97,NA,NA,NA
"162",NA,"Anthony Davis","PF",97,91,95,68,91,92,97,NA,NA,NA
"163",NA,"James Harden","SG",97,94,82,83,92,76,74,NA,NA,NA
"164",NA,"Lamarcus Aldridge","PF",97,85,93,57,79,83,88,NA,NA,NA
"165",NA,"Jason Kidd","PG",97,94,77,97,95,93,86,NA,NA,NA
"166",NA,"James Harden","SG",97,93,80,94,92,76,76,NA,NA,NA
"167",NA,"George Gervin","SF",97,92,88,78,92,84,82,NA,NA,NA
"168",NA,"Michael Jordan","SG",97,91,87,80,88,89,47,NA,NA,NA
"169",NA,"Nate Thurmond","C",97,68,95,43,87,95,98,NA,NA,NA
"170",NA,"Elgin Baylor","SF",97,91,90,78,91,87,94,NA,NA,NA
"171",NA,"Gilbert Arenas","PG",97,95,83,93,93,81,59,NA,NA,NA
"172",NA,"Gilbert Arenas","PG",97,95,83,93,93,81,59,NA,NA,NA
"173",NA,"John Havlicek","SF",97,95,71,77,90,88,63,NA,NA,NA
"174",NA,"Shawn Kemp","PF",97,72,92,48,90,85,95,NA,NA,NA
"175",NA,"Giannis Antetokounmpo","SF",97,81,89,83,89,85,88,NA,NA,NA
"176",NA,"Larry Bird","SF",97,96,89,82,89,93,89,NA,NA,NA
"177",NA,"Amar'e Stoudemire","PF",97,85,96,59,88,81,95,NA,NA,NA
"178",NA,"Jason Williams","PG",97,96,60,99,86,80,45,NA,NA,NA
"179",NA,"Scottie Pippen","SF",97,92,88,80,88,93,82,NA,NA,NA
"180",NA,"Artis Gilmore","C",97,68,93,61,82,91,98,NA,NA,NA
"181",NA,"Wilt Chamberlain","C",97,69,94,61,86,87,95,NA,NA,NA
"182",NA,"Carmelo Anthony","SF",97,96,90,84,90,84,74,NA,NA,NA
"183",NA,"Pete Maravich","SG",97,96,68,96,86,81,47,NA,NA,NA
"184",NA,"Kyle Kuzma","PF",97,93,94,78,92,85,87,NA,NA,NA
"185",NA,"Bill Walton","C",97,72,89,89,84,93,98,NA,NA,NA
"186",NA,"Dominique Wilkins","SF",97,91,90,77,91,86,77,NA,NA,NA
"187",NA,"Kobe Bryant","SG",97,95,85,81,90,89,69,NA,NA,NA
"188",NA,"Rick Barry","SF",97,94,87,85,88,89,85,NA,NA,NA
"189",NA,"Lebron James","SF",97,93,92,88,92,88,82,NA,NA,NA
"190",NA,"Dwyane Wade","SG",97,94,87,93,92,93,72,NA,NA,NA
"191",NA,"Dwyane Wade","SG",97,94,87,93,92,93,72,NA,NA,NA
"192",NA,"Russell Westbrook","PG",97,77,77,99,96,85,99,NA,NA,NA
"193",NA,"Tracy McGrady","SG",97,97,93,90,91,88,76,NA,NA,NA
"194",NA,"Greg Oden","C",97,82,93,30,85,91,97,NA,NA,NA
"195",NA,"Devin Booker","SG",97,98,68,84,83,81,52,NA,NA,NA
"196",NA,"Kevin Durant","SF",97,97,87,83,87,87,72,NA,NA,NA
"197",NA,"Dirk Nowitzki","PF",97,95,90,61,69,82,92,NA,NA,NA
"198",NA,"Ray Allen","SG",97,98,82,78,89,87,44,NA,NA,NA
"199",NA,"Jo Jo White","PG",97,94,72,94,91,93,54,NA,NA,NA
"200",NA,"Kawhi Leonard","SF",97,91,90,74,90,95,73,NA,NA,NA
"201",NA,"Penny Hardaway","PG",97,95,91,93,94,90,80,NA,NA,NA
"202",NA,"Demar Derozan","SG",97,94,87,91,90,83,70,NA,NA,NA
"203",NA,"Nikola Vucevic","C",97,89,93,90,84,83,97,NA,NA,NA
"204",NA,"Chris Mullin","SF",97,98,79,80,89,86,71,NA,NA,NA
"205",NA,"Antawn Jamison","PF",97,92,91,71,90,87,96,NA,NA,NA
"206",NA,"Derrick Rose","PG",97,92,77,94,90,81,50,NA,NA,NA
"207",NA,"Jerry West","PG",97,98,79,98,93,93,68,NA,NA,NA
"208",NA,"De'Aaron Fox","PG",97,95,70,96,91,92,81,NA,NA,NA
"209",NA,"John Wall","PG",97,95,76,96,96,89,46,NA,NA,NA
"210",NA,"Michael Redd","SG",97,98,78,86,87,85,45,NA,NA,NA
"211",NA,"Lonzo Ball","PG",97,93,91,98,91,90,90,NA,NA,NA
"212",NA,"Danny Granger","SF",97,95,90,79,87,79,57,NA,NA,NA
"213",NA,"Karl Malone","PF",97,88,96,69,90,92,93,NA,NA,NA
"214",NA,"Andrei Kirilenko","PF",97,95,89,88,92,97,93,NA,NA,NA
"215",NA,"Richard Hamilton","SG",97,98,84,83,86,86,67,NA,NA,NA
"216",NA,"Peja Stojakovic","SG",97,97,85,88,88,84,80,NA,NA,NA
"217",NA,"Derrick Coleman","PF",97,86,94,57,89,87,96,NA,NA,NA
"218",NA,"Charlie Scott","PG",97,92,87,96,92,88,77,NA,NA,NA
"219",NA,"Andre Iguodala","SG",97,92,83,86,95,97,70,NA,NA,NA
"220",NA,"Shaquille O'Neal","C",97,61,93,54,88,93,98,NA,NA,NA
"221",NA,"Latrell Sprewell","SF",97,94,87,86,87,82,71,NA,NA,NA
"222",NA,"Josh Smith","SF",97,87,92,71,94,98,97,NA,NA,NA
"223",NA,"Isaac Bonga","PG",97,92,89,94,93,93,78,NA,NA,NA
"224",NA,"Sam Cassell","PG",96,95,66,93,82,85,44,NA,NA,NA
"225",NA,"Jaylen Brown","SG",96,94,83,79,91,88,55,NA,NA,NA
"226",NA,"Draymond Green","PF",96,88,89,87,92,98,93,NA,NA,NA
"227",NA,"Jamal Murray","PG",96,98,69,89,88,71,53,NA,NA,NA
"228",NA,"Joel Embiid","C",96,87,94,53,84,87,96,NA,NA,NA
"229",NA,"C.J. McCollum","SG",96,94,63,88,90,79,76,NA,NA,NA
"230",NA,"Pascal Siakam","PF",96,89,89,66,89,89,94,NA,NA,NA
"231",NA,"Victor Oladipo","SG",96,95,74,82,87,90,65,NA,NA,NA
"232",NA,"Louis Williams","SG",96,92,62,96,78,78,59,NA,NA,NA
"233",NA,"Jamal Crawford","SG",96,95,68,90,82,76,38,NA,NA,NA
"234",NA,"D'Angelo Russell","PG",96,94,74,98,90,85,52,NA,NA,NA
"235",NA,"Russell Westbrook","PG",96,94,81,98,95,82,94,NA,NA,NA
"236",NA,"Kevin Durant","SF",96,95,83,81,82,81,72,NA,NA,NA
"237",NA,"Phil Chenier","SG",96,93,69,92,88,77,50,NA,NA,NA
"238",NA,"Paul George","SF",96,88,84,80,89,88,76,NA,NA,NA
"239",NA,"Zach Lavine","SG",96,91,85,87,87,79,68,NA,NA,NA
"240",NA,"Trae Young","PG",96,91,62,96,84,73,65,NA,NA,NA
"241",NA,"Donovan Mitchell","SG",96,92,74,83,89,80,48,NA,NA,NA
"242",NA,"Giannis Antetokounmpo","SF",96,82,87,82,89,83,87,NA,NA,NA
"243",NA,"Jimmer Fredette","PG",96,99,71,94,89,79,35,NA,NA,NA
"244",NA,"Devin Booker","SG",96,96,64,87,82,79,52,NA,NA,NA
"245",NA,"Damian Lillard","PG",96,92,74,93,91,75,60,NA,NA,NA
"246",NA,"Lebron James","SF",96,83,86,84,89,85,79,NA,NA,NA
"247",NA,"James Harden","SG",96,90,80,94,90,73,75,NA,NA,NA
"248",NA,"Kawhi Leonard","SF",96,86,90,74,89,87,69,NA,NA,NA
"249",NA,"Jusuf Nurkic","C",96,65,85,71,75,92,98,NA,NA,NA
"250",NA,"Ralph Sampson","C",96,76,85,48,79,89,96,NA,NA,NA
"251",NA,"Rajon Rondo","PG",96,87,66,98,93,90,79,NA,NA,NA
"252",NA,"Bradley Beal","SG",96,89,76,93,86,82,84,NA,NA,NA
"253",NA,"Mark Price","PG",96,96,61,95,82,76,48,NA,NA,NA
"254",NA,"Kyle Kuzma","PF",96,91,94,75,90,78,77,NA,NA,NA
"255",NA,"George Mikan","C",96,80,90,54,79,85,98,NA,NA,NA
"256",NA,"Stephon Marbury","PG",96,95,74,95,92,83,60,NA,NA,NA
"257",NA,"Yao Ming","C",96,76,89,55,63,85,96,NA,NA,NA
"258",NA,"Nikola Jokic","C",96,88,90,85,80,76,97,NA,NA,NA
"259",NA,"Klay Thompson","SG",96,97,72,77,87,84,51,NA,NA,NA
"260",NA,"Kemba Walker","PG",96,95,62,88,87,78,51,NA,NA,NA
"261",NA,"Hakeem Olajuwon","C",96,83,92,65,78,89,95,NA,NA,NA
"262",NA,"Dan Issel","PF",96,89,84,57,82,87,98,NA,NA,NA
"263",NA,"Larry Johnson","PF",96,88,91,73,86,86,95,NA,NA,NA
"264",NA,"Ben Wallace","C",96,48,87,55,89,98,98,NA,NA,NA
"265",NA,"Andre Iguodala","SG",95,88,79,86,90,89,45,NA,NA,NA
"266",NA,"Bernard King","SF",95,87,86,78,87,80,60,NA,NA,NA
"267",NA,"Andrei Kirilenko","PF",95,93,88,88,89,95,89,NA,NA,NA
"268",NA,"Lebron James","SF",95,89,82,80,86,80,74,NA,NA,NA
"269",NA,"Sidney Moncrief","SG",95,85,71,82,91,88,58,NA,NA,NA
"270",NA,"Kobe Bryant","SG",95,91,83,79,90,86,60,NA,NA,NA
"271",NA,"Lebron James","SF",95,86,81,86,86,82,75,NA,NA,NA
"272",NA,"Kareem Abdul-Jabbar","C",95,60,88,66,81,88,95,NA,NA,NA
"273",NA,"Mitch Richmond","SG",95,95,79,82,92,77,62,NA,NA,NA
"274",NA,"Oscar Robertson","PG",95,92,89,96,93,87,90,NA,NA,NA
"275",NA,"Klay Thompson","SG",95,96,71,76,85,80,51,NA,NA,NA
"276",NA,"Danny Granger","SF",95,94,78,78,86,79,57,NA,NA,NA
"277",NA,"Patrick Ewing","C",95,85,91,69,77,90,95,NA,NA,NA
"278",NA,"Jermaine O'Neal","C",95,83,92,56,82,83,95,NA,NA,NA
"279",NA,"Spencer Haywood","PF",95,78,91,60,86,84,96,NA,NA,NA
"280",NA,"Luka Doncic","SF",95,90,75,93,83,75,78,NA,NA,NA
"281",NA,"Tracy McGrady","SG",95,93,89,82,88,80,76,NA,NA,NA
"282",NA,"Penny Hardaway","PG",95,91,84,93,92,88,74,NA,NA,NA
"283",NA,"Lou Hudson","SF",95,94,83,81,89,85,66,NA,NA,NA
"284",NA,"Zydrunas Ilgauskas","C",95,84,88,53,67,79,96,NA,NA,NA
"285",NA,"Ray Allen","SG",95,97,78,78,87,81,44,NA,NA,NA
"286",NA,"Nikola Jokic","C",95,87,90,85,80,76,87,NA,NA,NA
"287",NA,"Stephen Curry","PG",95,96,61,91,87,74,52,NA,NA,NA
"288",NA,"Larry Bird","SF",95,92,72,81,84,77,86,NA,NA,NA
"289",NA,"Tony Parker","PG",95,94,66,95,91,82,39,NA,NA,NA
"290",NA,"Joel Embiid","C",95,78,90,49,80,80,96,NA,NA,NA
"291",NA,"Paul George","SF",95,92,78,77,87,87,64,NA,NA,NA
"292",NA,"Scottie Pippen","SF",95,90,83,80,86,92,71,NA,NA,NA
"293",NA,"Pau Gasol","C",95,85,88,74,76,84,92,NA,NA,NA
"294",NA,"Artis Gilmore","C",95,60,89,53,78,86,96,NA,NA,NA
"295",NA,"Chris Mullin","SF",95,96,74,73,86,85,59,NA,NA,NA
"296",NA,"Shaquille O'Neal","C",95,53,89,54,83,89,94,NA,NA,NA
"297",NA,"Paul George","SF",95,87,82,78,87,78,87,NA,NA,NA
"298",NA,"Marc Gasol","C",95,86,87,56,75,82,91,NA,NA,NA
"299",NA,"Clyde Drexler","SG",95,87,85,79,89,82,70,NA,NA,NA
"300",NA,"Kevin Durant","SF",95,92,78,77,80,81,57,NA,NA,NA
"301",NA,"James Harden","SG",95,89,79,89,90,74,59,NA,NA,NA
"302",NA,"Drazen Petrovic","SG",95,97,68,78,77,73,60,NA,NA,NA
"303",NA,"Louis Williams","SG",95,92,62,86,77,78,59,NA,NA,NA
"304",NA,"Gordon Hayward","SF",95,94,75,86,84,83,79,NA,NA,NA
"305",NA,"Julius Randle","PF",95,76,92,80,87,87,95,NA,NA,NA
"306",NA,"Shawn Marion","SF",95,89,88,67,88,94,96,NA,NA,NA
"307",NA,"Tim Hardaway","PG",95,94,66,96,93,84,53,NA,NA,NA
"308",NA,"Bob Love","PF",95,87,93,65,86,94,89,NA,NA,NA
"309",NA,"Billy Cunningham","PF",95,85,94,84,91,88,95,NA,NA,NA
"310",NA,"Kawhi Leonard","SF",95,88,84,74,88,92,55,NA,NA,NA
"311",NA,"Christian Laettner","PF",95,92,91,70,84,87,96,NA,NA,NA
"312",NA,"Emeka Okafor","C",95,73,94,51,86,93,97,NA,NA,NA
"313",NA,"Joe Johnson","SF",95,94,83,82,83,71,47,NA,NA,NA
"314",NA,"Elton Brand","C",95,80,94,52,84,90,98,NA,NA,NA
"315",NA,"Paul George","SF",95,89,82,75,88,86,65,NA,NA,NA
"316",NA,"Earl Monroe","PG",95,92,64,90,90,74,55,NA,NA,NA
"317",NA,"Jayson Tatum","SF",95,94,80,83,84,78,71,NA,NA,NA
"318",NA,"Joe Harris","SF",95,96,69,83,83,74,56,NA,NA,NA
"319",NA,"Hamidou Diallo","SG",95,85,75,87,89,81,68,NA,NA,NA
"320",NA,"Kevin Love","PF",95,91,89,59,81,81,98,NA,NA,NA
"321",NA,"Damian Lillard","PG",95,94,71,93,90,73,60,NA,NA,NA
"322",NA,"Karl-Anthony Towns","C",95,85,86,60,82,79,98,NA,NA,NA
"323",NA,"Zach Lavine","SG",95,93,82,86,87,75,60,NA,NA,NA
"324",NA,"Arvydas Sabonis","C",95,87,88,82,77,83,95,NA,NA,NA
"325",NA,"Dwyane Wade","SG",95,89,82,88,90,85,65,NA,NA,NA
"326",NA,"David Robinson","C",95,83,95,51,86,91,90,NA,NA,NA
"327",NA,"Jonas Valanciunas","C",95,78,90,49,68,80,98,NA,NA,NA
"328",NA,"Kemba Walker","PG",95,94,63,87,88,75,53,NA,NA,NA
"329",NA,"Javale McGee","C",95,64,89,35,82,89,98,NA,NA,NA
"330",NA,"Vince Carter","SG",95,91,85,82,87,81,56,NA,NA,NA
"331",NA,"Hakeem Olajuwon","C",95,80,91,65,78,88,93,NA,NA,NA
"332",NA,"Richie Guerin","SG",95,95,86,83,95,90,69,NA,NA,NA
"333",NA,"Steve Smith","SG",95,95,81,78,85,78,55,NA,NA,NA
"334",NA,"Dell Curry","SG",95,97,61,84,86,79,48,NA,NA,NA
"335",NA,"George McGinnis","PF",95,84,91,68,84,89,96,NA,NA,NA
"336",NA,"Reggie Lewis","SG",95,93,90,81,93,88,52,NA,NA,NA
"337",NA,"Michael Jordan","SG",95,89,85,78,87,86,47,NA,NA,NA
